gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,MonthlyCharges,TotalCharges,InternetService_Fiber optic,InternetService_No,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Churn
1,0,1,0,1.2179291315270397,1,0,1,0,1,1,1,1,2,0,0.54581870545153,1.2139751359398019,0,0,0,0,1,0
1,0,0,1,-0.8627100762598398,0,0,0,0,0,0,0,0,0,0,-1.313746349356177,-0.8572643380024136,0,0,0,1,0,0
0,0,1,1,0.36119534008538345,1,1,1,1,1,0,1,0,0,1,0.33086898137429493,0.3426723541374919,0,0,1,0,0,0
1,1,1,0,0.7283669649889504,1,0,0,0,0,0,0,0,0,1,0.21422959621610543,0.5297337152470356,1,0,0,1,0,1
1,0,1,1,-0.5363352985677802,1,1,0,0,0,0,0,0,2,0,-1.3004161339095266,-0.7840693098065714,0,1,0,0,1,0
0,0,0,0,-0.046773132029690946,0,0,0,0,1,0,1,1,1,1,-0.4856067147330316,-0.3234090625928242,0,0,0,1,0,0
1,0,0,1,-1.2706785483749141,1,0,0,0,0,0,0,1,0,1,0.49916295138825395,-0.9644705227636273,1,0,0,1,0,1
1,0,0,0,0.15721110402784624,0,0,0,1,0,1,0,0,0,1,-0.9921549017057402,-0.43716439303731774,0,0,0,0,0,0
0,0,0,0,-0.9443037706828545,1,0,0,0,0,0,0,0,0,1,-1.5220309657100868,-0.9174054758193795,0,1,0,0,1,1
1,1,0,0,1.2587259787385472,1,1,1,1,1,1,1,0,1,0,0.6124697826847811,1.3281522757672866,0,0,0,0,0,0
0,1,1,0,1.544303909219099,1,0,1,1,1,0,1,1,2,0,1.3572955707663625,2.3355440848187663,1,0,1,0,0,0
0,0,0,0,-0.9443037706828545,1,1,0,0,0,0,1,0,0,1,0.690784798433851,-0.6629878163943412,1,0,0,1,0,1
0,0,0,0,-1.1482880067403918,1,0,0,0,0,0,0,0,0,0,-1.5203646887792555,-0.9672011835061475,0,1,0,0,1,0
1,1,1,0,1.625897603642114,1,1,0,1,1,1,1,1,2,1,1.5389197562269719,2.4999831427036927,1,0,1,0,0,0
0,0,1,0,1.544303909219099,1,1,1,0,1,1,0,1,2,1,0.33920036602845133,1.360453994306853,0,0,1,0,0,0
0,0,0,0,-0.5771321457792876,1,1,0,0,0,0,0,0,0,1,0.36586079692175166,-0.38039773028427915,1,0,0,0,0,0
1,1,0,0,-0.9035069234713472,0,0,0,0,0,0,0,1,0,1,-0.9971537324982339,-0.853379251580129,0,0,0,1,0,1
0,0,1,0,1.5851007564306066,1,1,0,1,1,1,1,1,2,0,0.6524604290247319,1.6450865258503446,0,0,1,0,0,0
0,0,0,0,-0.9443037706828545,1,0,1,0,1,1,0,1,0,1,0.12091808808955391,-0.7436422105209698,0,0,0,0,0,0
0,0,0,0,-0.9035069234713472,0,0,0,0,1,0,0,0,0,0,-1.170446533304687,-0.8864801878979939,0,0,0,0,1,1
0,0,0,0,-0.5363352985677802,1,1,0,1,0,0,1,1,0,1,1.1773376622365848,-0.14209762938826165,1,0,0,1,0,1
0,0,0,0,1.5851007564306066,1,1,1,1,1,1,0,1,2,0,0.5324884900048795,1.5346834699759364,0,0,0,0,0,0
0,0,0,0,-0.4955384513562728,1,0,0,0,0,0,0,0,0,0,0.19756682690779265,-0.33666275741627516,1,0,1,0,0,0
0,1,0,0,0.8915543538349802,0,0,0,1,1,0,1,1,1,1,-0.3056488062032533,0.31754139510877066,0,0,0,1,0,0
1,0,1,0,0.6467732705659355,0,0,0,1,1,0,0,0,1,0,-0.9971537324982339,-0.2873998615817063,0,0,0,0,1,1
0,0,1,1,0.7283669649889504,1,0,0,0,0,0,0,0,1,1,-1.4753752116468108,-0.5829106351075949,0,1,0,0,1,0
0,0,0,0,-1.1482880067403918,1,0,0,0,0,0,0,0,1,0,-1.4970368117476176,-0.9475093454686248,0,1,0,0,1,0
0,0,0,0,-1.2706785483749141,1,0,0,0,0,0,0,1,0,1,-0.3206452985807349,-0.9753931657337075,0,0,0,1,0,1
1,0,0,0,-0.37314790972175044,1,0,0,0,0,0,0,0,0,1,-1.5037019194709427,-0.7910402648728421,0,1,0,0,1,0
1,0,0,0,0.4427890345083983,1,1,0,0,0,0,0,0,2,1,-1.2970835800478642,-0.4722411733070874,0,1,1,0,0,0
0,0,0,0,1.625897603642114,1,0,0,0,0,0,0,0,2,1,-1.4937042578859552,-0.34767420236172186,0,1,1,0,0,0
0,0,0,0,-1.2706785483749141,0,0,0,0,0,0,1,1,0,1,-0.6439030231620031,-0.9797000615389829,0,0,0,0,1,1
0,1,1,0,1.2995228259500544,1,1,0,0,0,0,0,0,2,0,-1.2987498569786955,-0.2268813153694328,0,1,1,0,0,0
0,0,1,1,0.03482056239332393,1,0,0,1,1,1,1,1,2,0,0.5824767979298179,0.15598840142325562,0,0,1,0,0,0
1,0,1,1,0.8507575066234727,1,1,1,1,1,1,0,1,2,1,1.3139723705647492,1.471722869441084,1,0,0,0,0,0
0,1,0,0,0.07561740960483138,1,0,0,1,1,0,1,1,1,1,1.174005108374922,0.48457791077316764,1,0,0,1,0,0
1,0,0,1,0.4427890345083983,1,1,0,0,0,0,0,0,2,1,-1.3170789032178394,-0.5246565392671673,0,1,0,1,0,0
0,0,1,0,0.11641425681633881,1,1,0,0,0,1,1,0,0,1,0.8957368609260985,0.4371576559274536,1,0,1,0,0,0
0,0,1,1,0.5651795761429206,1,0,0,0,0,0,0,0,2,1,-1.4837065963009672,-0.5838430558489432,0,1,0,0,1,0
0,0,1,0,1.5851007564306066,1,0,1,0,0,1,0,0,2,0,-0.3373080678890477,0.6777444076891586,0,0,0,0,0,0
0,1,1,1,1.625897603642114,1,1,1,1,1,1,1,1,2,1,1.6772207414859683,2.639468845510631,1,0,0,0,0,0
0,0,1,1,1.5851007564306066,1,1,1,0,1,0,1,1,2,0,1.3639606784896876,2.2883014339237855,1,0,0,1,0,0
0,0,1,0,0.9731480482579951,1,0,0,0,0,0,0,0,1,0,-1.4887054270934612,-0.49952558023844623,0,1,1,0,0,0
1,0,1,0,0.03482056239332393,1,1,0,1,1,0,1,1,0,1,1.3256363090805685,0.514082367088689,1,0,0,1,0,1
1,1,1,0,1.4627102147960842,1,1,1,1,0,0,0,1,1,1,1.0640308309400575,1.9226148993645156,1,0,1,0,0,1
0,1,1,0,1.0955385898925174,1,0,1,1,1,0,0,0,1,1,0.6108035057539499,1.1772333186319102,1,0,1,0,0,0
1,0,1,0,1.5851007564306066,1,1,0,1,1,0,1,1,2,1,1.3506304630430377,2.354680910510248,1,0,0,0,0,0
0,1,0,0,-0.7811163818368249,1,0,0,0,0,0,1,1,0,1,0.8624113223094729,-0.4664912454021061,1,0,0,1,0,1
0,0,0,1,-0.985100617894362,1,0,0,0,0,0,0,0,0,0,-1.505368196401774,-0.9291273365677583,0,1,0,0,0,0
1,0,1,1,1.0139448954695025,1,1,1,1,0,1,0,0,0,0,0.019275195308846017,0.6376281153173398,0,0,0,0,0,0
0,0,1,0,-0.8627100762598398,1,1,0,1,0,0,0,0,0,1,0.5291559361432172,-0.6015812504284026,1,0,0,0,0,1
1,0,0,0,-1.2706785483749141,1,0,0,0,0,0,0,0,0,1,-1.4820403193701361,-0.9908669099413211,0,1,0,0,1,1
0,0,0,0,-0.9035069234713472,1,0,1,0,1,0,1,1,1,1,1.1423458466891279,-0.5269653906266965,1,0,0,1,0,0
1,0,1,0,1.2995228259500544,1,0,0,0,0,0,0,0,2,0,-1.505368196401774,-0.46318337181970387,0,1,1,0,0,0
0,1,1,0,0.48358588171990574,1,1,0,0,1,0,1,0,0,1,0.8190881221078598,0.7940749954192807,1,0,0,1,0,0
1,0,1,0,1.625897603642114,1,1,1,0,1,1,1,0,2,1,1.11901796965749,2.1153151859098327,1,0,0,0,0,0
0,0,0,0,-0.046773132029690946,1,0,0,1,0,1,0,0,0,1,0.46083858197913485,0.08141694260923271,1,0,0,1,0,1
1,0,0,0,0.36119534008538345,1,1,1,1,1,1,1,0,0,1,1.395619940175482,0.9016141875881188,1,0,0,1,0,0
1,0,1,1,0.9323512010464876,1,1,1,0,0,0,1,1,1,0,1.208996923922379,1.4194185059502127,1,0,0,0,1,0
0,0,0,0,-0.12836682645270583,1,0,0,0,1,0,0,0,0,0,-0.5222648072113195,-0.4120778349962799,0,0,0,0,0,0
0,1,1,0,-0.9035069234713472,1,1,0,0,0,0,0,1,0,0,0.6974499061571762,-0.6216282963673913,1,0,0,1,0,1
0,0,1,0,-0.45474160414476533,1,1,0,1,1,1,1,1,0,1,1.5522499716736224,0.029001576649152764,1,0,0,1,0,1
0,0,0,0,-1.2706785483749141,1,1,0,0,0,0,0,0,0,1,0.34253291989011414,-0.9665573691847402,1,0,0,1,0,1
0,0,1,1,1.625897603642114,1,1,1,1,1,1,1,1,2,1,1.7322078802034002,2.70209643863786,1,0,0,0,0,0
1,0,1,1,0.48358588171990574,1,0,1,0,0,1,0,0,0,0,-0.27898837530995296,0.07449038853064532,0,0,0,0,0,0
0,0,1,0,1.625897603642114,1,1,1,1,1,1,1,1,2,1,0.8540799376553165,1.8282850010314453,0,0,1,0,0,0
0,0,1,0,-0.8219132290483323,1,0,1,0,0,1,0,0,0,0,0.5408198746590359,-0.6151013511779531,1,0,0,0,0,1
0,0,1,1,0.27960164566236856,1,1,0,0,0,0,0,0,2,0,-1.313746349356177,-0.561154151142801,0,1,0,0,1,0
0,0,1,0,-0.7403195346253174,0,0,0,0,0,0,1,1,0,0,-0.6089112076145461,-0.7033483141984179,0,0,0,1,0,1
1,1,1,0,0.07561740960483138,1,1,0,1,1,0,0,1,0,1,0.9873820921218188,0.4288102702430022,1,0,0,1,0,1
1,0,0,0,0.36119534008538345,1,1,0,0,0,0,0,0,1,1,-1.3254102878719958,-0.572565204977397,0,1,0,0,1,0
1,0,0,0,0.7283669649889504,1,0,0,0,0,0,0,0,1,0,-1.4953705348167863,-0.5606657402782853,0,1,0,0,0,0
1,0,1,0,1.625897603642114,1,1,1,1,1,0,1,1,2,1,0.6008058441689623,1.628436155469125,0,0,1,0,0,0
0,0,0,0,-1.2706785483749141,1,0,0,0,0,0,0,0,0,0,-0.6722297309861346,-0.9800774699342908,0,0,0,0,1,0
0,0,1,1,0.4019921872968909,0,0,0,1,1,0,0,1,1,1,-0.650568130885328,-0.0900152708358061,0,0,1,0,0,0
1,0,1,1,0.8099606594119653,1,0,1,0,1,1,0,0,0,1,0.6474615982322378,0.9213282261194833,1,0,0,0,0,0
0,1,1,0,-0.5771321457792876,1,0,1,0,0,0,0,1,0,1,-0.18401059025257002,-0.5508975229879697,0,0,1,0,0,0
0,0,1,1,-0.2915542152987356,1,0,0,1,0,0,0,0,0,1,0.3625282430600893,-0.15572873260702025,1,0,0,1,0,0
0,1,0,0,-1.2706785483749141,1,1,0,0,0,0,0,0,0,1,0.3708596277142457,-0.9661799607894326,1,0,0,1,0,1
0,0,0,0,-0.4139447569332579,1,0,0,0,0,0,0,0,0,1,0.1692401190836611,-0.3380613885282976,1,0,0,0,1,0
1,0,1,0,1.625897603642114,1,1,0,0,1,0,1,1,2,1,1.1073540311416707,2.0377910614148735,1,0,0,1,0,0
0,1,1,0,0.15721110402784624,1,0,0,0,1,1,0,0,1,0,-0.3506382833356979,-0.11496862591379425,0,0,1,0,0,0
0,0,0,1,0.7691638122004578,1,0,0,0,0,1,0,0,1,0,-0.5589228996896077,0.04660656826556252,0,0,1,0,0,0
0,0,0,0,1.5035070620075917,1,0,0,1,1,1,1,1,1,1,1.3139723705647492,2.224586016598318,1,0,0,0,0,1
1,0,1,0,-0.6587258402023025,1,1,0,0,0,0,1,0,0,1,0.6774545829872011,-0.3878570962150656,1,0,0,1,0,1
1,0,1,0,-1.2298817011634067,1,0,1,1,0,0,1,0,0,0,0.8574124915169788,-0.9152298274229,1,0,0,1,0,0
1,0,1,1,1.3403196731615619,1,1,0,1,1,0,1,1,0,1,1.3622944015588565,2.1018838871356484,1,0,0,1,0,1
1,1,0,0,-0.5771321457792876,1,0,0,0,1,0,0,1,0,1,0.6774545829872011,-0.35881885027021826,1,0,0,1,0,0
1,0,1,1,1.4219133675845768,1,1,0,0,1,1,0,1,2,1,0.1759052268069863,1.0496914815117666,0,0,0,0,0,0
0,0,1,0,0.7691638122004578,1,1,0,1,1,0,1,1,1,1,1.4056176017604696,1.4417078017672054,1,0,0,0,0,0
1,0,0,0,-1.2706785483749141,1,0,0,0,0,0,0,0,0,0,-1.5037019194709427,-0.9911555163612622,0,1,0,0,1,0
1,0,1,0,1.625897603642114,1,1,1,1,1,1,1,1,2,1,0.9257298456810616,2.013281716213718,0,0,0,1,0,0
0,0,1,1,-1.1482880067403918,1,0,0,0,0,0,0,0,0,0,-0.6605657924703159,-0.9244874333548582,0,0,0,1,0,0
0,0,0,0,-0.8219132290483323,1,1,0,0,0,0,0,0,0,0,-1.320411457079502,-0.8594177859050514,0,1,0,1,0,0
1,0,1,0,1.05474174268101,1,1,0,0,1,1,1,1,0,1,1.2489875702623294,1.6133620201506602,1,0,1,0,0,1
0,0,0,0,-0.8219132290483323,1,0,1,0,0,1,0,0,0,0,-0.26565815986330277,-0.709053841115716,0,0,0,0,1,1
0,0,0,0,-1.2706785483749141,1,0,0,0,0,0,0,0,0,0,-1.5136995810559304,-0.9912887193243121,0,1,0,0,1,0
1,0,1,0,1.0139448954695025,1,1,1,0,0,0,1,1,0,1,1.167340000651597,1.4409307844827486,1,0,0,1,0,0
0,0,0,0,-0.6179289929907951,1,0,0,0,0,0,0,0,0,0,-1.4503810576843417,-0.8286257009467156,0,1,1,0,0,0
0,0,0,0,-1.2706785483749141,1,0,0,0,0,0,0,1,0,1,0.5408198746590359,-0.9639155104175867,1,0,0,0,1,1
1,0,0,0,-0.16916367366421325,1,0,1,1,0,1,0,0,1,1,-0.15735015935926966,-0.26511056576471337,0,0,0,1,0,0
1,0,0,0,-1.1074911595288843,1,0,0,0,0,0,1,0,0,1,0.54581870545153,-0.8268274609455438,1,0,1,0,0,1
0,0,0,0,-0.5363352985677802,1,0,0,0,0,0,0,0,1,1,-1.4970368117476176,-0.8282038915637246,0,1,1,0,0,0
0,0,0,0,1.625897603642114,1,1,1,1,1,1,1,1,2,1,1.7855287419900014,2.7952053098096403,1,0,0,1,0,0
1,0,0,0,1.05474174268101,1,1,0,0,0,0,0,0,2,0,-1.3420730571803086,-0.36761024583150237,0,1,1,0,0,0
0,0,0,0,-1.0258974651058694,1,1,0,0,1,0,1,0,0,1,0.8607450453786417,-0.7363160475532331,1,0,0,1,0,1
0,0,0,0,-0.9035069234713472,1,0,0,0,0,0,0,0,0,0,-0.620575146130365,-0.7813164485702098,0,0,0,0,1,0
1,0,0,0,-0.2915542152987356,0,0,0,0,1,1,1,1,1,0,-0.34730572947403526,-0.3679210527452851,0,0,0,1,0,0
0,0,0,0,-1.1074911595288843,1,0,0,0,0,0,0,0,0,0,-1.4653775500618234,-0.9582765849818135,0,1,0,0,0,0
0,0,1,1,1.2179291315270397,1,1,1,1,1,1,1,1,2,0,1.6972160646559433,2.178875199778409,1,0,0,0,0,0
0,0,0,0,-1.2706785483749141,1,0,0,0,0,0,0,0,0,0,-1.4720426577851484,-0.9907337069782715,0,1,0,0,1,0
1,0,1,0,-0.4139447569332579,1,0,0,1,1,0,0,0,0,1,-0.3306429601657225,-0.4764370666431548,0,0,0,0,1,0
1,0,0,0,-0.046773132029690946,1,0,1,0,1,1,0,0,0,0,0.7657672603212585,0.20978019800151634,1,0,0,1,0,0
0,0,1,0,-0.08756997924119839,1,0,0,0,1,0,0,0,0,1,-0.4872729916638628,-0.34494354161920177,0,0,0,0,1,0
1,1,1,0,-0.2915542152987356,1,1,1,0,0,1,1,0,0,1,0.1625750113603359,-0.22161979832896728,0,0,1,0,0,0
0,0,0,0,0.5651795761429206,1,1,1,1,0,0,0,1,0,1,0.9690530458826748,0.8449585273042886,1,0,0,1,0,1
1,0,1,1,1.2587259787385472,1,0,0,0,0,0,0,0,2,0,-1.5087007502634364,-0.43865182612470677,0,1,0,1,0,0
1,1,0,0,0.8099606594119653,0,0,0,1,1,1,1,0,0,1,-0.47061022235555,0.13964883795581873,0,0,0,1,0,0
0,0,0,0,-0.45474160414476533,1,0,0,0,0,0,0,0,0,1,-1.4887054270934612,-0.8149279962464321,0,1,0,0,1,0
1,0,1,1,1.4627102147960842,1,1,1,1,1,1,1,1,2,0,0.779097475767909,1.736130751094854,0,0,1,0,0,0
0,0,1,0,1.544303909219099,1,1,0,1,1,1,0,1,2,1,1.1356807389658028,2.0456056352471257,1,0,0,0,0,0
1,0,1,1,0.5651795761429206,0,0,1,1,0,0,0,0,0,0,-0.9854897939824152,-0.28040670602159395,0,0,0,0,0,0
0,0,0,1,-0.8219132290483323,1,0,0,0,0,0,0,0,0,0,-1.4520473346151732,-0.8951161800023866,0,1,1,0,0,0
0,0,0,0,1.4627102147960842,1,0,0,1,1,0,0,0,1,0,0.49916295138825395,1.4251240328675103,1,0,1,0,0,0
0,0,1,1,1.625897603642114,1,0,0,1,1,0,1,1,2,1,0.3591956891984269,1.433471418551962,0,0,0,0,0,0
1,0,1,0,-0.12836682645270583,1,1,0,0,0,0,0,0,0,1,0.34419919682094535,-0.04561428315255335,1,0,0,1,0,0
1,0,0,0,-1.1482880067403918,1,0,0,0,0,0,0,0,0,1,0.20923076542361188,-0.8785990125842166,1,0,0,0,0,1
1,0,1,1,-0.985100617894362,1,1,0,1,0,0,0,0,0,0,-0.29565114461826575,-0.8014300959907232,0,0,0,1,0,0
0,1,0,0,0.11641425681633881,1,1,1,0,0,0,0,1,0,0,0.8790740916177857,0.412359704306357,1,0,1,0,0,0
0,0,0,0,-0.45474160414476533,1,0,0,0,0,0,0,0,2,0,-1.50036936560928,-0.8264722530440778,0,1,0,0,1,0
1,0,1,0,-1.1074911595288843,1,0,1,0,1,0,0,1,0,1,0.8090904605228721,-0.7981666233960042,1,0,0,0,1,1
0,0,0,0,-0.8627100762598398,1,0,0,0,0,0,0,0,0,1,-1.4720426577851484,-0.8944501651871378,0,1,1,0,0,0
0,0,0,0,1.2179291315270397,0,0,1,1,1,1,0,0,2,1,-0.6972238849486038,0.16273735155111016,0,0,0,0,0,0
0,0,0,0,-1.1890848539518992,1,0,0,0,1,0,0,1,0,0,0.7024487369496702,-0.8858141730827451,1,0,1,0,0,0
1,0,0,0,0.4019921872968909,1,0,0,1,0,0,0,0,0,1,-0.5022694840413444,-0.07718338539534621,0,0,0,1,0,0
1,0,1,1,-0.6587258402023025,1,0,0,1,0,0,0,0,0,0,0.28754578117268176,-0.46888889873700185,1,0,0,0,0,0
0,0,1,1,-0.332351062510243,1,0,0,0,0,0,0,0,1,0,-1.4787077655084735,-0.8045603656223925,0,1,0,0,1,0
0,0,1,1,-0.985100617894362,1,0,0,0,0,0,0,0,1,0,-1.4903717040242925,-0.931458388421129,0,1,1,0,0,0
1,0,0,0,-1.1482880067403918,1,1,0,0,0,0,0,0,2,1,-1.3104137954945145,-0.9478867538639325,0,1,1,0,0,0
0,0,1,0,1.5851007564306066,1,1,1,0,1,1,1,1,2,0,0.6191348904081063,1.72023519750425,0,0,0,1,0,0
1,0,1,1,0.2388047984508611,1,0,0,0,0,0,0,0,1,0,-1.50036936560928,-0.6609897719485949,0,1,1,0,0,0
1,0,0,0,0.7691638122004578,1,0,0,0,0,0,0,0,1,1,-1.4920379809551236,-0.5571580622513083,0,1,0,0,0,0
0,0,1,1,-0.69952268741381,1,0,1,0,0,1,1,1,1,0,1.2423224625390046,-0.25953824181046514,1,0,0,1,0,0
0,0,1,1,0.11641425681633881,1,1,0,0,0,0,0,0,2,0,-1.3054149647020206,-0.6404987161327736,0,1,0,0,0,0
1,1,1,0,1.1363354371040248,1,1,1,1,1,1,1,1,2,1,1.713878833964256,2.075354296994905,1,0,0,0,0,0
1,0,0,0,-1.2706785483749141,1,0,0,0,0,0,1,0,0,0,0.44750836653248444,-0.9651587380727177,1,0,0,1,0,1
1,0,1,1,-0.08756997924119839,1,0,0,0,0,0,0,0,2,0,-1.510367027194268,-0.7321201542171657,0,1,0,0,1,0
0,0,0,0,-1.1482880067403918,1,0,0,1,0,0,0,0,0,0,-0.5122671456263319,-0.9072598501337562,0,0,0,0,1,0
0,0,1,1,0.5243827289314132,1,0,0,0,0,0,0,0,2,0,-1.4753752116468108,-0.587239731406712,0,1,0,0,1,0
0,0,1,0,1.5035070620075917,0,0,1,0,1,1,1,1,2,0,-0.14568622084345068,0.8008683465348185,0,0,0,0,0,0
0,0,1,0,1.2995228259500544,1,1,0,1,0,1,1,1,2,1,1.3539630169047001,2.029843284619571,1,0,0,1,0,0
1,0,1,1,1.625897603642114,1,1,1,0,1,1,1,1,2,1,0.7091138446729954,1.7134196458948705,0,0,1,0,0,0
1,0,1,0,0.5651795761429206,1,0,0,1,0,0,1,1,0,1,0.14924479591368547,0.4068095808459504,0,0,1,0,0,0
1,0,1,0,-1.2706785483749141,1,0,0,0,0,0,0,0,0,1,0.14424596512119192,-0.9691992279518938,1,0,0,1,0,1
1,0,1,1,-0.2915542152987356,1,0,0,0,0,0,0,0,2,1,-1.5303623503642432,-0.8294693197126973,0,1,0,0,1,0
1,1,1,0,0.4019921872968909,1,1,0,0,0,0,1,1,0,1,1.014042523015119,0.7515832502064079,1,0,0,1,0,0
1,0,1,1,-1.0666943123173769,1,0,0,0,0,0,1,0,0,0,-0.32564412937322873,-0.8421458016962661,0,0,0,1,0,0
1,0,1,0,-0.2099605208757207,1,0,0,1,0,0,0,0,0,1,0.38252356623006445,-0.07032343279828354,1,0,0,1,0,0
